wave,trust_stratum,spec,thresholded,n_cc,from,to,edge_key,weight,abs_weight,from_domain,to_domain,from_role,to_role,is_focal_edge,is_affect_affect,is_behavior_behavior,is_belief_affect,is_belief_behavior,is_affect_behavior,kind,neighbor,neighbor_domain,focal_rank_within_context
55,high,g05,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.196327612507214,0.196327612507214,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,high,g05,False,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.140764338519382,0.140764338519382,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,2
55,high,g05,False,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.127413905783985,0.127413905783985,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,3
55,high,g05,False,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.102511994485101,0.102511994485101,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,4
55,high,g05,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,-0.0806019517753901,0.0806019517753901,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,5
55,high,g05,False,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0663729854547521,0.0663729854547521,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,6
55,high,g05,False,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0388961673061934,0.0388961673061934,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,7
55,high,g05_spearman,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.189745452292701,0.189745452292701,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,high,g05_spearman,False,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.118697357515695,0.118697357515695,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,2
55,high,g05_spearman,False,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.105482277829134,0.105482277829134,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,3
55,high,g05_spearman,False,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.084231737860777,0.084231737860777,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,4
55,high,g05_spearman,False,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0555591737372573,0.0555591737372573,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,5
55,high,g05_spearman,False,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0374502017319742,0.0374502017319742,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,6
55,high,g05_spearman,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,7
55,high,g05_thr,True,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.214952597150264,0.214952597150264,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,high,g05_thr,True,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.168294033740989,0.168294033740989,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,2
55,high,g05_thr,True,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.142459760904957,0.142459760904957,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,3
55,high,g05_thr,True,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0,0.0,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,4
55,high,g05_thr,True,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0,0.0,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,5
55,high,g05_thr,True,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,6
55,high,g05_thr,True,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,7
55,high,g075,False,309,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.188912575969323,0.188912575969323,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,high,g075,False,309,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.128780970717432,0.128780970717432,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,2
55,high,g075,False,309,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.103125870818401,0.103125870818401,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,3
55,high,g075,False,309,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0882074760456659,0.0882074760456659,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,4
55,high,g075,False,309,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0667569020065814,0.0667569020065814,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,5
55,high,g075,False,309,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0188382309255863,0.0188382309255863,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,6
55,high,g075,False,309,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,7
55,low,g05,False,376,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.267758140236528,0.267758140236528,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,low,g05,False,376,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.186739468978733,0.186739468978733,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,2
55,low,g05,False,376,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0823438191047631,0.0823438191047631,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,3
55,low,g05,False,376,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0173270098917509,0.0173270098917509,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,4
55,low,g05,False,376,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.0149954739223753,0.0149954739223753,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,5
55,low,g05,False,376,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0136813275947072,0.0136813275947072,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,6
55,low,g05,False,376,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0046308706800259,0.0046308706800259,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,7
55,low,g05_spearman,False,376,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.247374790353336,0.247374790353336,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,low,g05_spearman,False,376,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.18964978258222,0.18964978258222,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,2
55,low,g05_spearman,False,376,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0763740879517376,0.0763740879517376,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,3
55,low,g05_spearman,False,376,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0313524413513409,0.0313524413513409,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,4
55,low,g05_spearman,False,376,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0147679451240536,0.0147679451240536,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,5
55,low,g05_spearman,False,376,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.0119719834614411,0.0119719834614411,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,6
55,low,g05_spearman,False,376,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,7
55,low,g05_thr,True,376,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.276196998867508,0.276196998867508,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,low,g05_thr,True,376,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.18764174914738,0.18764174914738,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,2
55,low,g05_thr,True,376,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0,0.0,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,3
55,low,g05_thr,True,376,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,4
55,low,g05_thr,True,376,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,5
55,low,g05_thr,True,376,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,6
55,low,g05_thr,True,376,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,7
55,low,g075,False,376,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.267758140236528,0.267758140236528,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
55,low,g075,False,376,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.186739468978733,0.186739468978733,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,2
55,low,g075,False,376,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0823438191047631,0.0823438191047631,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,3
55,low,g075,False,376,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0173270098917509,0.0173270098917509,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,4
55,low,g075,False,376,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.0149954739223753,0.0149954739223753,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,5
55,low,g075,False,376,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0136813275947072,0.0136813275947072,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,6
55,low,g075,False,376,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0046308706800259,0.0046308706800259,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,7
56,high,g05,False,351,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.184472929324428,0.184472929324428,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
56,high,g05,False,351,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.127075033951044,0.127075033951044,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,2
56,high,g05,False,351,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.10326597434691,0.10326597434691,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,3
56,high,g05,False,351,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0654778352644396,0.0654778352644396,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,4
56,high,g05,False,351,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0223205463735707,0.0223205463735707,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,5
56,high,g05,False,351,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0,0.0,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,6
56,high,g05,False,351,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,7
56,high,g05_spearman,False,351,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.149666946070499,0.149666946070499,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
56,high,g05_spearman,False,351,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.138243245161583,0.138243245161583,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,2
56,high,g05_spearman,False,351,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0852825860087156,0.0852825860087156,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,3
56,high,g05_spearman,False,351,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0702587301445381,0.0702587301445381,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,4
56,high,g05_spearman,False,351,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0678780483034123,0.0678780483034123,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,5
56,high,g05_spearman,False,351,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0200673126997986,0.0200673126997986,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,6
56,high,g05_spearman,False,351,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,7
56,high,g05_thr,True,351,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.204369172564096,0.204369172564096,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
56,high,g05_thr,True,351,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.147617307207555,0.147617307207555,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,2
56,high,g05_thr,True,351,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.0,0.0,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,3
56,high,g05_thr,True,351,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0,0.0,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,4
56,high,g05_thr,True,351,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,5
56,high,g05_thr,True,351,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,6
56,high,g05_thr,True,351,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,7
56,high,g075,False,351,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.184472929324428,0.184472929324428,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,1
56,high,g075,False,351,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.127075033951044,0.127075033951044,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,2
56,high,g075,False,351,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.10326597434691,0.10326597434691,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,3
56,high,g075,False,351,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0654778352644396,0.0654778352644396,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,4
