wave,trust_stratum,spec,n_cc,neighbor,neighbor_domain,weight,abs_weight,focal_rank_within_context
55,high,g05,309,AFF_FEAR,affect,0.196327612507214,0.196327612507214,1
55,high,g05,309,USE2_AVOID,behavior,0.140764338519382,0.140764338519382,2
55,high,g05,309,USE2_SPACE150,behavior,0.127413905783985,0.127413905783985,3
55,high,g05,309,WORRY_HEALTH_SYSTEM,affect,0.102511994485101,0.102511994485101,4
55,high,g05,309,USE2_MASK,behavior,-0.0806019517753901,0.0806019517753901,5
55,high,g05,309,AFF_WORRY,affect,0.0663729854547521,0.0663729854547521,6
55,high,g05,309,USE2_HANDWASH20,behavior,0.0388961673061934,0.0388961673061934,7
55,high,g05_spearman,309,AFF_FEAR,affect,0.189745452292701,0.189745452292701,1
55,high,g05_spearman,309,USE2_SPACE150,behavior,0.118697357515695,0.118697357515695,2
55,high,g05_spearman,309,USE2_AVOID,behavior,0.105482277829134,0.105482277829134,3
55,high,g05_spearman,309,AFF_WORRY,affect,0.084231737860777,0.084231737860777,4
55,high,g05_spearman,309,WORRY_HEALTH_SYSTEM,affect,0.0555591737372573,0.0555591737372573,5
55,high,g05_spearman,309,USE2_HANDWASH20,behavior,0.0374502017319742,0.0374502017319742,6
55,high,g05_spearman,309,USE2_MASK,behavior,0.0,0.0,7
55,high,g05_thr,309,AFF_FEAR,affect,0.214952597150264,0.214952597150264,1
55,high,g05_thr,309,USE2_SPACE150,behavior,0.168294033740989,0.168294033740989,2
55,high,g05_thr,309,USE2_AVOID,behavior,0.142459760904957,0.142459760904957,3
55,high,g05_thr,309,AFF_WORRY,affect,0.0,0.0,4
55,high,g05_thr,309,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,5
55,high,g05_thr,309,USE2_MASK,behavior,0.0,0.0,6
55,high,g05_thr,309,USE2_HANDWASH20,behavior,0.0,0.0,7
55,high,g075,309,AFF_FEAR,affect,0.188912575969323,0.188912575969323,1
55,high,g075,309,USE2_AVOID,behavior,0.128780970717432,0.128780970717432,2
55,high,g075,309,USE2_SPACE150,behavior,0.103125870818401,0.103125870818401,3
55,high,g075,309,WORRY_HEALTH_SYSTEM,affect,0.0882074760456659,0.0882074760456659,4
55,high,g075,309,AFF_WORRY,affect,0.0667569020065814,0.0667569020065814,5
55,high,g075,309,USE2_HANDWASH20,behavior,0.0188382309255863,0.0188382309255863,6
55,high,g075,309,USE2_MASK,behavior,0.0,0.0,7
55,low,g05,376,AFF_FEAR,affect,0.267758140236528,0.267758140236528,1
55,low,g05,376,WORRY_HEALTH_SYSTEM,affect,0.186739468978733,0.186739468978733,2
55,low,g05,376,AFF_WORRY,affect,0.0823438191047631,0.0823438191047631,3
55,low,g05,376,USE2_MASK,behavior,0.0173270098917509,0.0173270098917509,4
55,low,g05,376,USE2_AVOID,behavior,0.0149954739223753,0.0149954739223753,5
55,low,g05,376,USE2_SPACE150,behavior,0.0136813275947072,0.0136813275947072,6
55,low,g05,376,USE2_HANDWASH20,behavior,0.0046308706800259,0.0046308706800259,7
55,low,g05_spearman,376,AFF_FEAR,affect,0.247374790353336,0.247374790353336,1
55,low,g05_spearman,376,WORRY_HEALTH_SYSTEM,affect,0.18964978258222,0.18964978258222,2
55,low,g05_spearman,376,AFF_WORRY,affect,0.0763740879517376,0.0763740879517376,3
55,low,g05_spearman,376,USE2_HANDWASH20,behavior,0.0313524413513409,0.0313524413513409,4
55,low,g05_spearman,376,USE2_SPACE150,behavior,0.0147679451240536,0.0147679451240536,5
55,low,g05_spearman,376,USE2_AVOID,behavior,0.0119719834614411,0.0119719834614411,6
55,low,g05_spearman,376,USE2_MASK,behavior,0.0,0.0,7
55,low,g05_thr,376,AFF_FEAR,affect,0.276196998867508,0.276196998867508,1
55,low,g05_thr,376,WORRY_HEALTH_SYSTEM,affect,0.18764174914738,0.18764174914738,2
55,low,g05_thr,376,AFF_WORRY,affect,0.0,0.0,3
55,low,g05_thr,376,USE2_MASK,behavior,0.0,0.0,4
55,low,g05_thr,376,USE2_SPACE150,behavior,0.0,0.0,5
55,low,g05_thr,376,USE2_HANDWASH20,behavior,0.0,0.0,6
55,low,g05_thr,376,USE2_AVOID,behavior,0.0,0.0,7
55,low,g075,376,AFF_FEAR,affect,0.267758140236528,0.267758140236528,1
55,low,g075,376,WORRY_HEALTH_SYSTEM,affect,0.186739468978733,0.186739468978733,2
55,low,g075,376,AFF_WORRY,affect,0.0823438191047631,0.0823438191047631,3
55,low,g075,376,USE2_MASK,behavior,0.0173270098917509,0.0173270098917509,4
55,low,g075,376,USE2_AVOID,behavior,0.0149954739223753,0.0149954739223753,5
55,low,g075,376,USE2_SPACE150,behavior,0.0136813275947072,0.0136813275947072,6
55,low,g075,376,USE2_HANDWASH20,behavior,0.0046308706800259,0.0046308706800259,7
56,high,g05,351,AFF_FEAR,affect,0.184472929324428,0.184472929324428,1
56,high,g05,351,USE2_AVOID,behavior,0.127075033951044,0.127075033951044,2
56,high,g05,351,USE2_HANDWASH20,behavior,0.10326597434691,0.10326597434691,3
56,high,g05,351,USE2_SPACE150,behavior,0.0654778352644396,0.0654778352644396,4
56,high,g05,351,AFF_WORRY,affect,0.0223205463735707,0.0223205463735707,5
56,high,g05,351,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,6
56,high,g05,351,USE2_MASK,behavior,0.0,0.0,7
56,high,g05_spearman,351,AFF_FEAR,affect,0.149666946070499,0.149666946070499,1
56,high,g05_spearman,351,USE2_AVOID,behavior,0.138243245161583,0.138243245161583,2
56,high,g05_spearman,351,USE2_SPACE150,behavior,0.0852825860087156,0.0852825860087156,3
56,high,g05_spearman,351,AFF_WORRY,affect,0.0702587301445381,0.0702587301445381,4
56,high,g05_spearman,351,USE2_HANDWASH20,behavior,0.0678780483034123,0.0678780483034123,5
56,high,g05_spearman,351,WORRY_HEALTH_SYSTEM,affect,0.0200673126997986,0.0200673126997986,6
56,high,g05_spearman,351,USE2_MASK,behavior,0.0,0.0,7
56,high,g05_thr,351,AFF_FEAR,affect,0.204369172564096,0.204369172564096,1
56,high,g05_thr,351,USE2_HANDWASH20,behavior,0.147617307207555,0.147617307207555,2
56,high,g05_thr,351,AFF_WORRY,affect,0.0,0.0,3
56,high,g05_thr,351,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,4
56,high,g05_thr,351,USE2_MASK,behavior,0.0,0.0,5
56,high,g05_thr,351,USE2_SPACE150,behavior,0.0,0.0,6
56,high,g05_thr,351,USE2_AVOID,behavior,0.0,0.0,7
56,high,g075,351,AFF_FEAR,affect,0.184472929324428,0.184472929324428,1
56,high,g075,351,USE2_AVOID,behavior,0.127075033951044,0.127075033951044,2
56,high,g075,351,USE2_HANDWASH20,behavior,0.10326597434691,0.10326597434691,3
56,high,g075,351,USE2_SPACE150,behavior,0.0654778352644396,0.0654778352644396,4
56,high,g075,351,AFF_WORRY,affect,0.0223205463735707,0.0223205463735707,5
56,high,g075,351,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,6
56,high,g075,351,USE2_MASK,behavior,0.0,0.0,7
56,low,g05,383,AFF_WORRY,affect,0.25053034016802,0.25053034016802,1
56,low,g05,383,AFF_FEAR,affect,0.222716478047016,0.222716478047016,2
56,low,g05,383,USE2_AVOID,behavior,0.14666766730118,0.14666766730118,3
56,low,g05,383,WORRY_HEALTH_SYSTEM,affect,0.0695622643782032,0.0695622643782032,4
56,low,g05,383,USE2_SPACE150,behavior,0.0274840359837989,0.0274840359837989,5
56,low,g05,383,USE2_MASK,behavior,0.0,0.0,6
56,low,g05,383,USE2_HANDWASH20,behavior,0.0,0.0,7
56,low,g05_spearman,383,AFF_FEAR,affect,0.244316734085197,0.244316734085197,1
56,low,g05_spearman,383,AFF_WORRY,affect,0.209644704385641,0.209644704385641,2
56,low,g05_spearman,383,USE2_AVOID,behavior,0.158154120584315,0.158154120584315,3
56,low,g05_spearman,383,WORRY_HEALTH_SYSTEM,affect,0.0711493088825936,0.0711493088825936,4
56,low,g05_spearman,383,USE2_MASK,behavior,0.0,0.0,5
56,low,g05_spearman,383,USE2_SPACE150,behavior,0.0,0.0,6
56,low,g05_spearman,383,USE2_HANDWASH20,behavior,0.0,0.0,7
56,low,g05_thr,383,AFF_WORRY,affect,0.254913023999908,0.254913023999908,1
56,low,g05_thr,383,AFF_FEAR,affect,0.22413224239124,0.22413224239124,2
56,low,g05_thr,383,USE2_AVOID,behavior,0.153446108833217,0.153446108833217,3
56,low,g05_thr,383,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,4
56,low,g05_thr,383,USE2_MASK,behavior,0.0,0.0,5
56,low,g05_thr,383,USE2_SPACE150,behavior,0.0,0.0,6
56,low,g05_thr,383,USE2_HANDWASH20,behavior,0.0,0.0,7
56,low,g075,383,AFF_WORRY,affect,0.25053034016802,0.25053034016802,1
56,low,g075,383,AFF_FEAR,affect,0.222716478047016,0.222716478047016,2
56,low,g075,383,USE2_AVOID,behavior,0.14666766730118,0.14666766730118,3
56,low,g075,383,WORRY_HEALTH_SYSTEM,affect,0.0695622643782032,0.0695622643782032,4
56,low,g075,383,USE2_SPACE150,behavior,0.0274840359837989,0.0274840359837989,5
56,low,g075,383,USE2_MASK,behavior,0.0,0.0,6
56,low,g075,383,USE2_HANDWASH20,behavior,0.0,0.0,7
57,high,g05,407,AFF_FEAR,affect,0.228946825539151,0.228946825539151,1
57,high,g05,407,AFF_WORRY,affect,0.0938656784582978,0.0938656784582978,2
57,high,g05,407,USE2_HANDWASH20,behavior,0.0408160253815509,0.0408160253815509,3
57,high,g05,407,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,4
57,high,g05,407,USE2_MASK,behavior,0.0,0.0,5
57,high,g05,407,USE2_SPACE150,behavior,0.0,0.0,6
57,high,g05,407,USE2_AVOID,behavior,0.0,0.0,7
57,high,g05_spearman,407,AFF_FEAR,affect,0.191057018010504,0.191057018010504,1
57,high,g05_spearman,407,AFF_WORRY,affect,0.123595393025996,0.123595393025996,2
57,high,g05_spearman,407,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,3
57,high,g05_spearman,407,USE2_MASK,behavior,0.0,0.0,4
57,high,g05_spearman,407,USE2_SPACE150,behavior,0.0,0.0,5
57,high,g05_spearman,407,USE2_HANDWASH20,behavior,0.0,0.0,6
57,high,g05_spearman,407,USE2_AVOID,behavior,0.0,0.0,7
57,high,g05_thr,407,AFF_FEAR,affect,0.244663534192224,0.244663534192224,1
57,high,g05_thr,407,AFF_WORRY,affect,0.0,0.0,2
57,high,g05_thr,407,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,3
57,high,g05_thr,407,USE2_MASK,behavior,0.0,0.0,4
57,high,g05_thr,407,USE2_SPACE150,behavior,0.0,0.0,5
57,high,g05_thr,407,USE2_HANDWASH20,behavior,0.0,0.0,6
57,high,g05_thr,407,USE2_AVOID,behavior,0.0,0.0,7
57,high,g075,407,AFF_FEAR,affect,0.228946825539151,0.228946825539151,1
57,high,g075,407,AFF_WORRY,affect,0.0938656784582978,0.0938656784582978,2
57,high,g075,407,USE2_HANDWASH20,behavior,0.0408160253815509,0.0408160253815509,3
57,high,g075,407,WORRY_HEALTH_SYSTEM,affect,0.0,0.0,4
57,high,g075,407,USE2_MASK,behavior,0.0,0.0,5
57,high,g075,407,USE2_SPACE150,behavior,0.0,0.0,6
57,high,g075,407,USE2_AVOID,behavior,0.0,0.0,7
57,low,g05,336,AFF_WORRY,affect,0.181542860019941,0.181542860019941,1
57,low,g05,336,WORRY_HEALTH_SYSTEM,affect,0.142145431091419,0.142145431091419,2
57,low,g05,336,USE2_AVOID,behavior,0.0950565129638646,0.0950565129638646,3
57,low,g05,336,AFF_FEAR,affect,0.0836266841879681,0.0836266841879681,4
57,low,g05,336,USE2_SPACE150,behavior,0.0518376003125831,0.0518376003125831,5
57,low,g05,336,USE2_MASK,behavior,0.0,0.0,6
57,low,g05,336,USE2_HANDWASH20,behavior,0.0,0.0,7
57,low,g05_spearman,336,AFF_WORRY,affect,0.164149863157858,0.164149863157858,1
57,low,g05_spearman,336,WORRY_HEALTH_SYSTEM,affect,0.122384015427852,0.122384015427852,2
57,low,g05_spearman,336,AFF_FEAR,affect,0.106307782990407,0.106307782990407,3
57,low,g05_spearman,336,USE2_AVOID,behavior,0.0985463956030512,0.0985463956030512,4
57,low,g05_spearman,336,USE2_SPACE150,behavior,0.0149772185820331,0.0149772185820331,5
57,low,g05_spearman,336,USE2_MASK,behavior,0.0,0.0,6
57,low,g05_spearman,336,USE2_HANDWASH20,behavior,0.0,0.0,7
57,low,g05_thr,336,AFF_WORRY,affect,0.181923687523036,0.181923687523036,1
57,low,g05_thr,336,WORRY_HEALTH_SYSTEM,affect,0.144283593508917,0.144283593508917,2
57,low,g05_thr,336,AFF_FEAR,affect,0.0,0.0,3
57,low,g05_thr,336,USE2_MASK,behavior,0.0,0.0,4
57,low,g05_thr,336,USE2_SPACE150,behavior,0.0,0.0,5
57,low,g05_thr,336,USE2_HANDWASH20,behavior,0.0,0.0,6
57,low,g05_thr,336,USE2_AVOID,behavior,0.0,0.0,7
57,low,g075,336,AFF_WORRY,affect,0.181542860019941,0.181542860019941,1
57,low,g075,336,WORRY_HEALTH_SYSTEM,affect,0.142145431091419,0.142145431091419,2
57,low,g075,336,USE2_AVOID,behavior,0.0950565129638646,0.0950565129638646,3
57,low,g075,336,AFF_FEAR,affect,0.0836266841879681,0.0836266841879681,4
57,low,g075,336,USE2_SPACE150,behavior,0.0518376003125831,0.0518376003125831,5
57,low,g075,336,USE2_MASK,behavior,0.0,0.0,6
57,low,g075,336,USE2_HANDWASH20,behavior,0.0,0.0,7
