wave,trust_stratum,spec,n_cc,GS,n_edges_total,n_edges_nonzero,mean_abs_edge,median_abs_edge,max_abs_edge,S_SEVERITY,S_aff,S_beh,n_focal_neighbors_nonzero,top_neighbor,top_neighbor_domain,top_abs_weight,P_aff,P_beh,focal_share_of_global
55,high,g05,309,2.9484620309879093,28,25,0.10530221539242533,0.07030604379403066,0.577395396783446,0.7528889558320175,0.3652125924470671,0.3876763633849505,7,AFF_FEAR,affect,0.196327612507214,0.485081617439149,0.514918382560851,0.25534972060662936
55,high,g05_spearman,309,2.686748896071663,28,23,0.0959553177168451,0.0596608224657953,0.539986801400581,0.5911662009675385,0.32953636389073526,0.2616298370768032,6,AFF_FEAR,affect,0.189745452292701,0.5574343786085809,0.4425656213914191,0.22003031315352609
55,high,g05_thr,309,2.191634303708658,28,9,0.07827265370388063,0.0,0.596641701974303,0.5257063917962099,0.214952597150264,0.310753794645946,3,AFF_FEAR,affect,0.214952597150264,0.4088833624712525,0.5911166375287475,0.23986957628223637
55,high,g075,309,2.617218187719387,28,23,0.09347207813283524,0.0603117199580981,0.55152938087604,0.5946220264829896,0.3438769540215703,0.2507450724614193,6,AFF_FEAR,affect,0.188912575969323,0.578311832905853,0.4216881670941472,0.22719619987095388
55,low,g05,376,3.1774995757055415,28,23,0.11348212770376934,0.0891047672671971,0.552748012727947,0.5874761104088835,0.5368414283200241,0.050634682088859295,7,AFF_FEAR,affect,0.267758140236528,0.9138098023192507,0.08619019768074918,0.1848862907490518
55,low,g05_spearman,376,3.3334449940156343,28,23,0.11905160692912979,0.08316584628298515,0.557738775494885,0.5714910308241291,0.5133986608872936,0.0580923699368356,6,AFF_FEAR,affect,0.247374790353336,0.898349463414916,0.10165053658508416,0.17144156626255966
55,low,g05_thr,376,2.971346461592439,28,14,0.10611951648544425,0.0526792803559465,0.570061509842212,0.463838748014888,0.463838748014888,0.0,2,AFF_FEAR,affect,0.276196998867508,1.0,0.0,0.15610389229612157
55,low,g075,376,3.1774995757055415,28,23,0.11348212770376934,0.0891047672671971,0.552748012727947,0.5874761104088835,0.5368414283200241,0.050634682088859295,7,AFF_FEAR,affect,0.267758140236528,0.9138098023192507,0.08619019768074918,0.1848862907490518
56,high,g05,351,2.655841500053316,28,21,0.09485148214476129,0.06701971480179085,0.531144423692983,0.5026123192603923,0.2067934756979987,0.29581884356239363,5,AFF_FEAR,affect,0.184472929324428,0.41143734002043747,0.5885626599795626,0.18924785957682427
56,high,g05_spearman,351,2.8103533251215014,28,22,0.10036976161148219,0.06906838922397521,0.548621569682315,0.5313968683885465,0.2399929889148357,0.29140387947371094,6,AFF_FEAR,affect,0.149666946070499,0.4516266526797778,0.5483733473202225,0.1890854305180906
56,high,g05_thr,351,2.154362415652146,28,9,0.07694151484471949,0.0,0.562066156177224,0.351986479771651,0.204369172564096,0.147617307207555,2,AFF_FEAR,affect,0.204369172564096,0.5806165415690945,0.41938345843090563,0.16338313238958976
56,high,g075,351,2.655841500053316,28,21,0.09485148214476129,0.06701971480179085,0.531144423692983,0.5026123192603923,0.2067934756979987,0.29581884356239363,5,AFF_FEAR,affect,0.184472929324428,0.41143734002043747,0.5885626599795626,0.18924785957682427
56,low,g05,383,3.048761162690582,28,21,0.10888432723894936,0.0558845399148213,0.522142337680245,0.7169607858782181,0.5428090825932392,0.1741517032849789,5,AFF_WORRY,affect,0.25053034016802,0.757097310319898,0.24290268968010204,0.23516462839138516
56,low,g05_spearman,383,3.040318121301163,28,20,0.1085827900464701,0.051063172788505154,0.531702417744227,0.6832648679377467,0.5251107473534317,0.158154120584315,4,AFF_FEAR,affect,0.244316734085197,0.7685317539277833,0.2314682460722167,0.2247346628468373
56,low,g05_thr,383,2.801021682598465,28,12,0.10003648866423089,0.0,0.53437294504503,0.6324913752243649,0.479045266391148,0.153446108833217,3,AFF_WORRY,affect,0.254913023999908,0.7573941482146145,0.2426058517853856,0.2258073827681378
56,low,g075,383,3.048761162690582,28,21,0.10888432723894936,0.0558845399148213,0.522142337680245,0.7169607858782181,0.5428090825932392,0.1741517032849789,5,AFF_WORRY,affect,0.25053034016802,0.757097310319898,0.24290268968010204,0.23516462839138516
57,high,g05,407,2.3034422464639666,28,17,0.08226579451657023,0.0517917029993084,0.474336665165375,0.36362852937899964,0.32281250399744876,0.0408160253815509,3,AFF_FEAR,affect,0.228946825539151,0.8877535119390769,0.11224648806092308,0.15786309812508165
57,high,g05_spearman,407,1.9992224590724434,28,16,0.07140080210973013,0.04369198366709615,0.483318566836444,0.3146524110365,0.3146524110365,0.0,2,AFF_FEAR,affect,0.191057018010504,1.0,0.0,0.1573873930880537
57,high,g05_thr,407,1.655713876759012,28,6,0.059132638455679,0.0,0.503035074330785,0.244663534192224,0.244663534192224,0.0,1,AFF_FEAR,affect,0.244663534192224,1.0,0.0,0.14776921159297296
57,high,g075,407,2.3034422464639666,28,17,0.08226579451657023,0.0517917029993084,0.474336665165375,0.36362852937899964,0.32281250399744876,0.0408160253815509,3,AFF_FEAR,affect,0.228946825539151,0.8877535119390769,0.11224648806092308,0.15786309812508165
57,low,g05,336,3.2650304187327452,28,22,0.11660822924045519,0.06747186887430015,0.669542306680917,0.5542090885757758,0.4073149752993281,0.1468941132764477,5,AFF_WORRY,affect,0.181542860019941,0.7349482058225698,0.2650517941774302,0.16974086532121213
57,low,g05_spearman,336,3.1313082378767043,28,20,0.11183243706702516,0.0762826591593101,0.633520007793898,0.5063652757612013,0.392841661576117,0.1135236141850843,5,AFF_WORRY,affect,0.164149863157858,0.7758068737742173,0.22419312622578277,0.16171045368071474
57,low,g05_thr,336,2.920495371118996,28,12,0.1043034061113927,0.0,0.67431879846331,0.326207281031953,0.326207281031953,0.0,2,AFF_WORRY,affect,0.181923687523036,1.0,0.0,0.11169587332951868
57,low,g075,336,3.2650304187327452,28,22,0.11660822924045519,0.06747186887430015,0.669542306680917,0.5542090885757758,0.4073149752993281,0.1468941132764477,5,AFF_WORRY,affect,0.181542860019941,0.7349482058225698,0.2650517941774302,0.16974086532121213
